station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
48501,Koh Kong,1965-07-15,Summer,28.6,24.5,31.1,1.6,,,,,,
33393,Lviv,2019-11-12,Autumn,8.3,1.4,12.4,0.0,,133.0,13.8,16.7,1015.1,
11035,Vienna,1984-12-08,Winter,1.5,0.6,1.9,0.1,0.0,,,,,
37484,Batumi,2016-03-06,Spring,9.6,9.0,12.0,,,,19.2,,,
47112,Kaesong,2013-06-04,Summer,21.1,15.9,25.2,0.0,,,,,,
63471,Harar,1954-06-24,Summer,,22.0,34.2,0.0,,,,,,
76225,Chihuahua,1954-07-08,Summer,24.2,17.8,32.2,,,,,,,
38933,Qurghonteppa,1974-05-06,Spring,24.2,14.0,33.2,0.0,,,,,,
72605,Concord,1943-09-29,Autumn,,2.8,17.8,0.0,,,,,,
71706,Charlottetown,1981-08-17,Summer,21.4,15.4,23.7,6.7,0.0,,,,,
43418,Trincomalee,1958-06-08,Summer,30.2,27.2,35.0,,,,,,,
12942,Pécs,2000-12-10,Winter,7.6,5.8,11.7,0.1,,,7.8,,1021.7,
63820,Mombasa,1998-04-02,Autumn,28.4,24.8,,,,,,,,
03953,Tralee,2019-11-12,Autumn,8.0,6.4,9.2,1.8,,335.0,20.8,46.3,1009.5,
42516,Shillong,2023-01-07,Winter,12.3,8.3,18.4,0.0,,150.0,5.5,,1018.1,
02768,Kouvola,1982-01-24,Winter,,-17.9,-6.9,1.0,,,,,,
82798,João Pessoa,1925-09-19,Spring,,,,19.6,,,,,,
28722,Ufa,1995-10-08,Autumn,7.1,0.1,16.9,0.0,,,,,,
16149,San Marino,1999-10-02,Autumn,18.3,12.7,23.1,0.0,,,,,,
67005,Mamoudzou,2002-10-29,Spring,27.9,,,0.0,,,,,,
07190,Saint-Pierre,1971-06-09,Summer,,8.0,22.0,0.4,,,,,,
76423,Durango,2007-10-05,Autumn,21.3,13.4,31.2,0.0,,,,,,
23205,Naryan-Mar,1936-12-22,Winter,-2.4,-3.6,-1.3,0.0,,,,,,
84377,Iquitos,2002-03-05,Autumn,24.6,,34.5,,,,,,,
65361,Sokodé,2003-01-03,Winter,25.1,,33.8,0.0,,,,,,
27199,Kirov,1960-02-15,Winter,0.0,-1.2,1.0,0.7,,,,,,
40361,Sakakah,2020-10-23,Autumn,24.5,17.0,32.6,,,86.0,6.6,,1019.9,
48930,Luang Prabang,2011-11-09,Autumn,20.3,,24.0,,,,,,,
60115,Oujda,1977-04-05,Spring,14.5,8.0,23.0,0.0,,,,,,
80009,Santa Marta,1998-11-22,Autumn,30.0,23.0,,,,,,,,
80410,Barquisimeto,2008-09-26,Autumn,23.9,,,,,,,,,
60395,Tizi Ouzou,1900-06-16,Summer,,14.0,34.0,0.0,,,,,,
37985,Ardabil,1921-04-03,Spring,,,,0.2,,,,,,
68029,Kasane,1974-10-29,Spring,,,,0.0,,,,,,
61257,Kayes,1996-09-18,Autumn,31.2,26.3,38.3,,,,,,,
65557,Gagnoa,2010-06-13,Summer,24.9,,31.0,36.1,,,,,,
48569,Satun,1993-03-15,Spring,25.4,,31.8,39.1,,,,,,
48477,Rayong,2013-09-03,Autumn,29.7,,,,,,,,,
97320,Dili,1997-02-10,Summer,27.1,24.6,30.1,0.0,,,,,,
83928,Artigas,1985-07-13,Winter,13.4,7.0,,0.0,,,,,,
44218,Khovd,1991-04-05,Spring,-0.6,-7.3,9.0,0.0,,,,,,
06447,Brussels,1965-08-24,Summer,,9.6,20.8,7.0,,,,,,
27199,Kirov,1996-03-08,Spring,-9.1,-14.1,-5.5,0.8,,,,,,
43329,Pondicherry,1963-03-15,Spring,,,,0.0,,,,,,
17030,Samsun,1982-02-19,Winter,3.7,0.0,,,,,,,,
47759,Kyoto,1965-10-30,Autumn,,10.8,22.7,1.7,,,,,,
30925,Sükhbaatar,1999-08-06,Summer,19.3,16.2,24.8,0.5,,,,,,
16149,San Marino,2007-02-04,Winter,4.9,,15.3,0.0,,,,,,
76423,Durango,2003-01-02,Winter,8.3,-1.0,15.9,0.0,,,,,,
29631,Novosibirsk,1944-03-23,Spring,,,,0.0,,,,,,
48459,Chon Buri,1974-12-05,Winter,28.4,22.4,34.8,0.0,,,,,,
72551,Lincoln,2021-10-21,Autumn,8.6,0.0,14.4,0.0,0.0,325.0,15.8,,1022.5,
37212,Nalchik,1982-06-17,Summer,,,,8.4,,,,,,
17609,Larnaca,1925-07-05,Summer,,,,0.0,,,,,,
34172,Saratov,1966-01-04,Winter,-7.7,-9.0,-5.9,1.6,,,,,,
72792,Olympia,1947-04-22,Spring,,1.1,19.4,0.0,0.0,,,,,
02418,Karlstad,1961-04-18,Spring,,0.5,13.6,,,,,,,
72401,Richmond,1975-04-03,Spring,,3.9,17.8,7.9,0.0,,,85.0,,564.0
64700,N'Djamena,1974-01-24,Winter,,14.2,35.1,0.0,,,,,,
57816,Gui​yang,1969-09-07,Autumn,20.7,15.7,25.8,0.0,,,,,,
65344,Cotonou,1999-12-13,Winter,27.9,23.2,32.1,0.0,,,,,,
07149,Paris,1945-05-20,Spring,17.4,13.5,24.1,,,223.0,12.7,,1005.9,
28722,Ufa,1920-07-23,Summer,20.1,15.2,25.0,0.0,,,,,,
33946,Simferopol,1963-01-19,Winter,-14.4,-19.0,-9.8,0.3,,,,,,
11858,Tatabánya,1977-09-08,Autumn,20.4,13.1,29.0,0.0,,,,,,
38954,Fayzabad,2009-03-19,Spring,5.2,0.5,8.8,,,,,,,
78073,Nassau,1981-07-18,Summer,29.4,25.0,33.1,0.0,,,,,,
07149,Saint-Denis,2016-05-07,Spring,17.6,12.3,23.4,0.0,,,9.6,,1008.2,
14236,Zagreb,1905-02-01,Winter,,-4.2,5.7,0.0,,,,,,
80211,Armenia,2022-07-31,Summer,22.1,18.9,28.5,0.5,,321.0,2.8,,1017.3,
15420,Bucharest,2014-12-05,Winter,0.1,-0.6,0.4,0.8,41.0,60.0,7.5,,1027.0,
78073,Nassau,2011-06-17,Summer,28.6,22.0,32.7,4.1,,,,,,
72641,Madison,1973-04-11,Spring,-1.0,-11.1,4.4,5.1,203.0,,12.0,37.1,1014.5,402.0
06280,Groningen,1976-03-28,Spring,7.6,5.0,12.0,0.0,0.0,,,,,
84628,Callao,1995-07-27,Winter,16.3,15.0,18.3,0.0,,162.0,18.9,,,
06193,Kristianstad,1966-12-09,Winter,,,,6.2,,,,,,
38339,Taraz,1998-08-23,Summer,11.8,,,4.6,,,,,,
48375,Mawlamyine,1981-05-06,Spring,28.8,,35.0,0.0,,,,,,
67323,Maxixe,1967-10-25,Spring,,23.6,31.6,0.0,,,,,,
14654,Sarajevo,1911-02-21,Winter,,-2.1,5.3,0.0,,,,,,
38933,Qurghonteppa,1992-01-21,Winter,9.0,2.1,16.7,0.0,,,,,,
11903,Banská Bystrica,1994-03-05,Spring,2.8,-4.4,11.4,0.0,20.0,,,,,
27760,Saransk,1968-07-15,Summer,13.2,8.9,20.0,0.0,,,,,,
33429,Khmelnytskyi,2022-09-26,Autumn,11.7,9.7,16.6,3.0,,173.0,8.5,,1009.8,
72511,Harrisburg,1942-12-08,Winter,,-5.6,3.9,0.0,0.0,,,,,
57816,Gui​yang,1975-05-06,Spring,14.2,11.1,16.8,11.7,,,,,,
38328,Shymkent,2008-02-26,Winter,5.4,-3.2,12.1,,,141.0,12.8,,,
37549,Tbilisi,1981-07-16,Summer,23.7,21.1,27.5,1.5,,,,,,
D1051,Dresden,2011-06-30,Summer,15.8,11.5,19.9,0.0,0.0,,,,,
16754,Heraklion,1985-01-10,Winter,12.2,10.6,17.4,2.9,,,,,,
72340,Little Rock,1982-12-11,Winter,,-3.9,5.6,5.1,0.0,,,,,0.0
